DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
,WEB2e1df605,lipd.net,HjortSo.Wagner.2008,Hjort So,,76.4331,-18.7614,114,10.1007/s10933-007-9120-3,,,LakeSediment,,,,,,Sulfur,percent,,,,,,0.09031746032,,371,10009,189,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HjortSo.Wagner.2008.html,,before July 15
,WEB043172b2,lipd.net,HjortSo.Wagner.2008,Hjort So,,76.4331,-18.7614,114,10.1007/s10933-007-9120-3,,,LakeSediment,,,,,,C/N,,,,,,,9.138571429,,371,10009,189,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HjortSo.Wagner.2008.html,,before July 15
,PYTMYS4WX23,matlab,HLY0501.deVernal.2013,HLY0501,,72.6947,-157.52,415,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,salinity,psu,,S,SSS,Summer,,28.79102857,,225.35,8209.4,90.5,0.7514982997,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HLY0501.deVernal.2013.html,,before July 15
,PYTONH3O7X5,matlab,HLY0501.deVernal.2013,HLY0501,,72.6947,-157.52,415,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,dinocyst,,,,,Sea_Ice_months,months/year,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,7.302857143,positive,225.35,8209.4,90.5,0.7514982997,,TRUE,,,http://lipdverse.org/globalHolocene/0_27_0/HLY0501.deVernal.2013.html,,before July 15
,PYTSBGW0VN6,matlab,HLY0501.deVernal.2013,HLY0501,,72.6947,-157.52,415,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,Sea_Ice_conc,0-10,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,5.860971429,positive,225.35,8209.4,90.5,0.7514982997,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HLY0501.deVernal.2013.html,,before July 15
,PYTK6N30E0G,matlab,HLY0501.deVernal.2013,HLY0501,,72.6947,-157.52,415,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,productivity,gcm2,,,,,,156.8005429,,225.35,8209.4,90.5,0.7514982997,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HLY0501.deVernal.2013.html,,before July 15
,PYTZWC15AHZ,matlab,HLY0501.deVernal.2013,HLY0501,,72.6947,-157.52,415,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,C,,,,,,,2.115942029,,225.35,8209.4,90.5,0.7514982997,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HLY0501.deVernal.2013.html,,before July 15
,LPDfdd2a0239,matlab,HodellMiragoane1991,LakeMiragoane,,18.4,-73.05,,,,,LakeSediment,d18O,,,,,d18O_VPBD,permil,,M,monsoon,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.8390789474,negative,2.273,12689,20.556,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HodellMiragoane1991.html,,before July 15
,PYTQ5AK802P,matlab,Holebudalen.Seppa.2009,Holebudalen,,59.83,6.98,1144,10.5194/cp-5-523-2009,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,LakeSediment,,,,,,temperature,degC,,T,air@surface,7,,11.1495303,,-9.54,8928.89,175.47,0.7831352933,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Holebudalen.Seppa.2009.html,,before July 15
,LPD9f859727dp,matlab,Holzmaar.Luke.,LakeHolzmaar,,50.12,6.88,,10.1016/S0277-3791(02)00187-8,,,LakeSediment,,,,,,sampleID,,,,,,,690.5,,419,9986,11,0,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/Holzmaar.Luke..html,,before July 15
